[2024-06-27T06:13:56.051+0000] {processor.py:161} INFO - Started process (PID=63) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-27T06:13:56.052+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-06-27T06:13:56.054+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.054+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-27T06:13:56.069+0000] {processor.py:840} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'dataset_consumes_1', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_2', 'consume_1_and_2_with_dataset_expressions' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-27T06:13:56.118+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.118+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-06-27T06:13:56.139+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.139+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-06-26 01:00:00+00:00, run_after=2024-06-26 01:00:00+00:00
[2024-06-27T06:13:56.142+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.142+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-06-27T06:13:56.143+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.143+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-06-27T06:13:56.145+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.145+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-06-27T06:13:56.146+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.146+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-06-27T06:13:56.147+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.147+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-06-27T06:13:56.148+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.148+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-06-27T06:13:56.148+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.148+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-06-27T06:13:56.150+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.150+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-06-26 00:00:00+00:00, run_after=2024-06-27 00:00:00+00:00
[2024-06-27T06:13:56.150+0000] {logging_mixin.py:188} INFO - [2024-06-27T06:13:56.150+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-06-27T06:13:56.173+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.125 seconds
