[2024-06-30T10:11:58.919+0000] {processor.py:161} INFO - Started process (PID=63) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-30T10:11:58.920+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-06-30T10:11:58.921+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:58.921+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-30T10:11:58.935+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1_and_2', 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-06-30T10:11:58.978+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:58.978+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-06-30T10:11:58.995+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:58.995+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-06-26 01:00:00+00:00, run_after=2024-06-26 01:00:00+00:00
[2024-06-30T10:11:59.000+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.000+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-06-30T10:11:59.001+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.001+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-06-30T10:11:59.003+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.003+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-06-30T10:11:59.004+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.004+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-06-30T10:11:59.006+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.006+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-06-30T10:11:59.008+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.008+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-06-30T10:11:59.009+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.009+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-06-30T10:11:59.011+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.011+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-06-29 00:00:00+00:00, run_after=2024-06-30 00:00:00+00:00
[2024-06-30T10:11:59.013+0000] {logging_mixin.py:188} INFO - [2024-06-30T10:11:59.013+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-06-30T10:11:59.047+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.132 seconds
