ProductID;Date;Zip;Units;Revenue;Country
725;1/15/1999;41540          ;1;115.5;Germany
787;6/6/2002;41540          ;1;314.9;Germany
788;6/6/2002;41540          ;1;314.9;Germany
940;1/15/1999;22587          ;1;687.7;Germany
396;1/15/1999;22587          ;1;857.1;Germany
734;4/10/2003;22587          ;1;330.7;Germany
769;2/15/1999;22587          ;1;257.2;Germany
499;1/15/1999;12555          ;1;846.3;Germany
2254;1/15/1999;40217          ;1;57.7;Germany
31;5/31/2002;40217          ;1;761.2;Germany
475;2/15/1999;13583          ;1;970.2;Germany
510;1/15/1999;22337          ;1;837.1;Germany
499;6/5/2002;22337          ;1;883;Germany
289;2/15/1999;13587          ;1;866;Germany
702;2/15/1999;13587          ;1;286.1;Germany
910;3/15/1999;13587          ;1;414.7;Germany
901;2/15/1999;13587          ;2;818.9;Germany
550;1/15/1999;22177          ;1;404;Germany
559;1/15/1999;22177          ;1;585.6;Germany
767;6/7/2002;22177          ;1;105;Germany
1000;4/11/2003;13589          ;1;89.2;Germany
559;1/15/1999;21129          ;1;585.6;Germany
716;4/10/2003;21129          ;1;152.2;Germany
966;4/10/2003;21129          ;1;472.4;Germany
604;1/15/1999;42549          ;1;461.7;Germany
609;1/15/1999;42549          ;1;778.8;Germany
2054;6/5/2002;42549          ;1;546;Germany
2205;6/5/2002;42549          ;1;157.4;Germany
2204;6/5/2002;42549          ;1;157.4;Germany
2252;6/5/2002;42549          ;1;136.4;Germany
2253;6/5/2002;42549          ;1;136.4;Germany
574;6/8/2002;13595          ;1;869.1;Germany
676;1/15/1999;21107          ;2;1603.9;Germany
727;1/15/1999;22149          ;1;63;Germany
472;4/10/2003;22149          ;1;961.3;Germany
921;1/15/1999;27499          ;1;525;Germany
946;5/31/2002;27499          ;1;693;Germany
606;2/15/1999;10119          ;1;314.7;Germany
1066;1/15/1999;41066          ;1;296.6;Germany
1065;1/15/1999;41066          ;1;296.6;Germany
559;6/6/2002;41066          ;1;624.5;Germany
1188;1/15/1999;22359          ;1;472.4;Germany
36;2/15/1999;22359          ;1;414.8;Germany
1014;2/15/1999;22359          ;1;86.6;Germany
2331;1/15/1999;10243          ;1;535.5;Germany
532;3/15/1999;10243          ;1;556.5;Germany
604;4/10/2003;10243          ;2;989.6;Germany
647;4/10/2003;10243          ;1;922.2;Germany
1014;5/31/2002;10243          ;1;86.6;Germany
571;6/11/2003;10243          ;1;527.1;Germany
1990;1/15/1999;45138          ;1;257.2;Germany
2396;6/10/2002;10245          ;1;89.2;Germany
906;4/12/2003;10247          ;1;419.9;Germany
2240;4/13/2003;10247          ;1;89.2;Germany
2241;4/13/2003;10247          ;1;89.2;Germany
2400;4/13/2003;10247          ;1;89.2;Germany
433;2/15/1999;10247          ;1;804.3;Germany
475;1/15/1999;45130          ;1;970.2;Germany
491;1/15/1999;22761          ;1;815.3;Germany
769;5/31/2002;22761          ;1;262.4;Germany
573;2/15/1999;22761          ;1;280.6;Germany
631;2/15/1999;10315          ;1;346.2;Germany
2254;2/15/1999;10315          ;1;57.7;Germany
475;2/15/1999;10315          ;1;970.2;Germany
2255;2/15/1999;10315          ;1;57.7;Germany
604;1/15/1999;10315          ;1;461.7;Germany
565;6/3/2002;10315          ;1;881.7;Germany
573;1/15/1999;22767          ;1;280.6;Germany
580;2/15/1999;10318          ;1;734.7;Germany
609;2/15/1999;10318          ;1;778.8;Germany
396;2/15/1999;10318          ;1;857.1;Germany
550;6/3/2002;10318          ;1;429.2;Germany
604;1/15/1999;41469          ;1;461.7;Germany
491;3/15/1999;10319          ;2;1630.7;Germany
725;5/31/2002;10319          ;1;120.7;Germany
1215;2/15/1999;10319          ;1;362.2;Germany
606;2/15/1999;10319          ;1;314.7;Germany
609;1/15/1999;22111          ;1;778.8;Germany
445;6/6/2002;22111          ;1;860.5;Germany
676;2/15/1999;22111          ;1;801.9;Germany
